AC093423.3	1	+	89866133,89928051,89933247	9.15673e-05,1.74544e-05,8.33695e-05	2,1,7
AL360181.3	10	+	133420375	0.0238095	5
ALOX5	10	+	45445903	0.0185185	4
ATP5F1C	10	+	7807718	0.00271003	2
BCCIP	10	+	125836379	0.0190476	2
DHX32	10	-	125836336	0.00571429	2
GDI2	10	-	5765222	0.00588836	4
GHITM	10	+	84152532	0.0108696	2
HNRNPF	10	-	43385616	0.00196078	2
JMJD1C	10	-	63176799	0.00219539	2
LIPA	10	-	89213568	0.00555997	7
MTG1	10	+	133420375	0.0238095	5
NCOA4	10	-	46005087	0.000492732	2
NDUFB8	10	-	100523936	0.000919287	5
PFKFB3	10	+	6254399	0.0666667	2
PI4K2A	10	+	97673987	0.0122449	3
PLXDC2	10	+	20279923	0.0192308	2
PPA1	10	-	70202829	0.00923077	3
PRDX3	10	-	119167702	0.003861	3
PSAP	10	-	71816297	0.0271202	30
RPS24	10	+	78040224,78040702	0.126909,0.0444308	2,4
SRGN	10	+	69104776	0.0640244	42
TM9SF3	10	-	96518108	0.000481464	2
VDAC2	10	+	75231190	0.0149254	3
VIM	10	+	17236379,17237589	0.0313959,0.107743	4,45
VSIR	10	-	71747558	0.000812128	3
AHNAK	11	-	62433541,62515904	0.00584795,0.00953516	2,8
AP002990.1	11	-	62559602	0.00512817	76
AP003419.1	11	-	67351571	0.0141844	6
APLP2	11	+	130122095	0.00145455	1
ATP5MG	11	+	118409251	0.00509478	11
CASP1	11	-	105026420	0.000497018	1
CAT	11	+	34472062	0.0063593	4
CCDC73	11	-	32602245	0.00884956	5
CCDC85B	11	+	65891519	0.0393701	5
CCDC88B	11	+	64357245	0.0198675	3
CFL1	11	-	65854674,65854786	0.0373274,0.00241632	24,1
COX8A	11	+	63976425	0.0380952	4
CPT1A	11	-	68754619	0.0102041	1
CTSC	11	-	88293591	0.00483092	2
CTSD	11	-	1752751	0.00465116	10
DPAGT1	11	-	119096502	0.000457771	2
EEF1G	11	-	62559600	0.025641	2
EIF4G2	11	-	10797049	0.00913838	7
FAM168A	11	-	73400486	0.00028393	2
FAU	11	-	65120627,65120954	0.0909091,0.0260708	14,14
FERMT3	11	+	64223659	0.011976	2
FIBP	11	-	65883920	0.00116754	2
FTH1	11	-	61964284	0.00476685	5
GRK2	11	+	67286553	0.00271985	3
HSPA8	11	-	123057488	0.0326531	8
IFITM3	11	-	319668	0.0075188	4
LAMTOR1	11	-	72097291	0.00452899	5
MAP3K11	11	-	65597754	0.00022205	2
MPEG1	11	-	59208509	0.00136054	3
NXF1	11	-	62792122	0.000365898	3
OTUB1	11	+	63997362	0.00408163	1
PPP1CA	11	-	67398182	0.00568182	2
PRPF19	11	-	60890729	0.00458716	2
PSMA1	11	-	14504875	0.00949367	3
PSMC3	11	-	47422573	0.000909091	3
RHOG	11	-	3826977	0.00854701	5
RNH1	11	-	494511	0.00111133	6
RPL27A	11	+	8685657	0.0124842	11
RPS25	11	-	119015711,119017343	0.0024407,0.0228128	5,13
SMCO4	11	-	93478471	0.00371747	2
SPI1	11	-	47354859	0.0144231	9
SRPRA	11	-	126262918	0.00200602	2
TALDO1	11	+	764432,764946	0.120933,0.0661799	2,8
TMEM123	11	-	102396331	0.00118343	3
TPP1	11	-	6612762	0.00031109	2
TRMT112	11	-	64316459	0.00237812	1
TSPAN4	11	+	866797	0.011976	2
TSSC4	11	+	2403783	0.0239521	4
UCP2	11	-	73974666	0.00486618	2
UNC93B1	11	-	67991103	0.00452489	2
ZFPL1	11	+	65088349	0.00851064	2
AC078927.1	12	-	66123916	0.000564573	8
ARHGAP9	12	-	57472254	0.00144823	1
ARHGDIB	12	-	14942016	0.029703	15
ARPC3	12	-	110434824	0.0606061	20
ATP5F1B	12	-	56638178	0.0138889	2
ATP5MC2	12	-	53665165	0.0202703	3
BLOC1S1	12	+	55719497,55719651	0.0129104,0.0129458	4,7
BLOC1S1-RDH5	12	+	55719497,55719814	0.019376,0.00639418	7,4
BTG1	12	-	92140277	0.00184114	7
CD163	12	-	7470812	0.000220313	2
CD4	12	+	6820808	0.0020284	3
CDK2AP1	12	-	123260970	0.0261396	19
CLEC4A	12	+	8138505	0.0275229	6
CLEC7A	12	-	10116776	0.00061019	6
COQ5	12	-	120503273	0.00392157	2
COX14	12	+	50120317	0.02	2
COX6A1	12	+	120440665	0.0234375	3
DDIT3	12	-	57516587	0.00904977	2
DNM1L	12	+	32706873	0.0142857	2
DYNLL1	12	+	120498406	0.0290909	8
GAPDH	12	+	6538368	0.131313	26
GLIPR1	12	+	75499390	0.00227753	8
H3F3C	12	-	31791184	0.00696864	4
IKBIP	12	-	98613404	0.00221729	2
KRR1	12	-	75490860,75495664	0.000752293,0.000547415	6,2
LTA4H	12	-	96000827	0.000491011	11
LYZ	12	+	69354233	0.382643	388
M6PR	12	-	8940362	0.00156348	5
MON2	12	+	62470840	0.0336134	4
MYL6	12	+	56161561	0.0670338	12
NACA	12	-	56712427,56712751	0.145836,0.0201153	31,13
NDUFA12	12	-	94971331	7.81311e-05	2
PEBP1	12	+	118145046	0.00823045	2
PFDN5	12	+	53298151,53299430	0.00385178,0.141972	5,35
PRKAG1	12	-	49002273	0.000617665	2
PTPN6	12	+	6955484,6961314	0.00143472,0.00888889	5,4
RPL41	12	+	56117827	0.293729	89
RPLP0	12	-	120196685	0.00666969	17
SCAF11	12	-	45919130	0.00102845	3
SELPLG	12	-	108622276	0.00252525	2
SLC2A3	12	-	7919229,7931350	0.00549702,0.00391061	12,7
SRSF9	12	-	120461667	0.000636132	2
TMBIM4	12	-	66135845	0.000353105	11
TMBIM6	12	+	49764931	0.0019656	4
TNFRSF1A	12	-	6328756	0.000426167	1
TPI1	12	+	6870948	0.00884956	5
UBC	12	-	124911603	0.0272727	3
YBX3	12	-	10699088	0.00136426	3
ZNF385A	12	-	54369132	0.000805153	2
KCTD12	13	-	76880165	0.000599401	3
LCP1	13	-	46125919	0.0095751	16
RPL21	13	+	27256522	0.0882219	30
ZDHHC20	13	-	21372572	0.000213812	2
ACIN1	14	-	23058563	0.000180979	2
ANGEL1	14	-	76786177	0.00196721	6
C14orf119	14	+	23098313	0.012931	3
CALM1	14	+	90405030	0.00346021	2
CHURC1	14	+	64932263	0.03125	2
DAD1	14	-	22564904	0.00072463	7
ERH	14	-	69380122	0.00722892	3
FOS	14	+	75282065	0.215289	138
HSP90AA1	14	-	102082664	0.000733945	2
IRF9	14	+	24166532	0.0833333	28
NEDD8	14	-	24216851	0.00469851	6
NEDD8-MDP1	14	-	24213954	0.00223714	4
NFKBIA	14	-	35401510	0.00820569	14
OXA1L	14	+	22771788	0.0130435	3
PSME1	14	+	24138903	0.00470588	1
RNASE6	14	+	20782343	0.0104712	2
RTRAF	14	+	52004509	0.02	2
SLC7A7	14	-	22773221	0.00394737	9
TINF2	14	-	24239642	0.00165426	2
TMED10	14	-	75131469	0.000261404	2
ZFP36L1	14	-	68787659	0.00282885	8
AC009690.1	15	-	72284726	0.000334262	12
AC245033.1	15	-	82536787,82538265,82538839	0.00884975,0.000296324,9.18763e-05	17,4,1
ANXA2	15	-	60347133	0.000460128	12
B2M	15	+	44717988	0.000909921	2
CELF6	15	-	72284726	0.00227402	12
CHSY1	15	-	101175722,101187323	0.000172579,0.00855261	2,6
EMC7	15	-	34084016	0.00630915	2
HYPK	15	+	43801769	0.010582	2
LYSMD2	15	-	51723010	0.0033557	2
NDUFAF1	15	-	41387493	0.000967636	6
PIAS1	15	+	68187824	0.00858369	2
PKM	15	-	72199028	0.00114095	13
PPIB	15	-	64155811	0.014218	3
RPLP1	15	+	69455539	0.0625	2
RPS17	15	-	82536749,82538227	0.0032794,0.0275649	5,16
SEC11A	15	-	84669537	0.000309629	3
SERF2	15	+	43794045	0.0551471	15
SPG11	15	-	44562695	0.00470588	1
SPG21	15	-	64963020	0.000280978	2
SQOR	15	+	45691114	0.0357143	3
ST20-MTHFS	15	-	79845149	0.0333333	2
AC026464.6	16	-	69328643	0.00765306	3
AC120114.4	16	+	29819964	0.0380952	8
ALDOA	16	+	30070384	0.16791	45
ATP6V0C	16	+	2520141	0.111111	44
BOLA2B	16	-	30192933	0.00714286	3
BOLA2-SMG1P6	16	-	29443229	0.000185494	1
C16orf74	16	-	85707516	0.00407332	1
CDIPT	16	-	29858356	0.000696864	2
CES1	16	-	55802850	0.000563222	2
CIAO2B	16	-	66932054	0.000948317	2
CKLF	16	+	66565995	0.00106866	3
CKLF-CMTM1	16	+	66565995	0.00106866	3
CORO7-PAM16	16	-	4340250,4340845	0.000432206,0.000127511	9,2
COTL1	16	-	84565593	0.0286816	35
COX4I1	16	+	85806803	0.0199336	6
CTRL	16	-	67929569	0.010989	4
CYBA	16	-	88643282	0.0285714	2
DPEP2	16	-	67987393	0.000571265	2
EDC4	16	+	67884331	0.010929	2
MRPS34	16	-	1771889	0.00906344	3
NDUFAB1	16	-	23581001	0.000205761	3
NPIPB4	16	-	21837623,21844155	0.000337872,0.000144639	4,1
PAGR1	16	+	29819964	0.0380952	8
PAM16	16	-	4340247,4340842	0.00646349,0.00310761	8,1
PDF	16	-	69328620	0.0074813	3
PDPK1	16	+	2597983	0.00643087	2
PHKB	16	+	47587740	7.89765e-05	2
RNF166	16	-	88696494	0.00273224	5
RNF40	16	+	30773981	0.0322581	2
RPL13	16	+	89562391,89563221	0.248208,0.120891	31,55
RPS2	16	-	1962051,1962624	0.242268,0.00179211	47,2
SMIM22	16	+	4796359	0.0234375	3
TCF25	16	+	89883779	0.000328374	1
TXNDC11	16	-	11692013,11701535,11705203,11709878,11714139	0.000502789,0.000261436,0.000223417,0.000169755,0.000162067	14,5,3,1,1
UBALD1	16	-	4608882	0.00272727	3
UQCRC2	16	+	21983660	0.00130336	4
XPO6	16	-	28097978	0.00357782	2
YPEL3	16	-	30092313	0.00245399	6
AC026954.2	17	-	7312660	0.00138985	4
AC087289.3	17	-	75898644	0.00127912	14
AC120057.2	17	-	7240426,7240544	0.065656,0.00618535	82,6
ACTG1	17	-	81509970	0.0542324	38
ARHGDIA	17	-	81867720	0.00344942	3
ASGR1	17	-	7173430	0.00760456	4
ATP5PD	17	-	75039017	0.00300903	3
BECN1	17	-	42810133	0.000953743	2
C17orf49	17	+	7017486	0.0149118	8
C1QBP	17	-	5432776	0.00840336	2
CD300E	17	-	74609886	0.00650759	18
CD300LF	17	-	74694310	0.00265604	3
DDX5	17	-	64499615,64499723	0.00522319,0.000401731	24,1
DNAJC7	17	-	41976432	7.38498e-05	2
EIF1	17	+	41691494	0.0374251	24
EIF4A1	17	+	7578536,7578733	0.299377,0.040612	14,10
EVI2A	17	-	31317559	0.00403769	3
EVI2B	17	-	31303765	0.0181087	9
GPS2	17	-	7312659	0.0132013	4
GRB2	17	-	75318075	0.000867303	2
GRN	17	+	44353014	0.0303867	11
H3F3B	17	-	75776433	0.00131464	3
IFT20	17	-	28328324	0.00503778	2
KDM6B	17	+	7854169	0.00308642	2
LUC7L3	17	+	50756212	0.000188652	3
MIEN1	17	-	39729155	0.00678733	3
MRPL38	17	-	75898642	0.0386473	8
NME1-NME2	17	+	51171683	0.147727	26
NME2	17	+	51171683	0.147727	26
OVCA2	17	+	2043367	0.0304183	8
P4HB	17	-	81843158	0.000123541	2
PER1	17	-	8140471	0.000851064	2
PFN1	17	-	4945651	0.0524194	13
RNASEK-C17orf49	17	+	7017503	0.010989	2
RPL19	17	+	39204703	0.0363636	2
RPL26	17	-	8377515,8377630,8379789	0.0869871,0.281348,0.0501792	14,65,44
SAP30BP	17	+	75687423,75696074,75696671,75687423,75690715	6.25418e-05,0.000104338,0.000399783,0.000106904,0.000364869	1,2,11,2,8
SAT2	17	-	7626233	0.00352734	4
SLC38A10	17	-	81244999	0.00359712	2
SOCS3	17	-	78356777	0.00487805	8
SPAG7	17	-	4959225	0.0021978	2
SRSF2	17	-	76734114	0.00146628	3
STAT3	17	-	42313323	0.000570939	2
TIMP2	17	-	78852976	0.000449539	2
TP53I13	17	+	29573057	0.0150376	2
TRAPPC1	17	-	7930344	0.00258065	2
UBB	17	+	16382710	0.0176991	2
AC090227.1	18	-	49795792	6.51933e-05	2
ATP5F1A	18	-	46080247,46084269	0.000172305,0.00028843	3,3
MBP	18	-	77012778	0.000495663	2
MYL12A	18	+	3256222	0.0361842	11
MYL12B	18	+	3278225	0.0243056	7
PSMG2	18	+	12725608	0.00181653	2
PSTPIP2	18	-	45983535	0.000386548	1
AC007192.1	19	+	18177991,18178114	0.00130064,0.00754151	10,62
AC008763.3	19	+	7682617	0.015625	2
AC010422.8	19	-	12668070	0.000169938	2
AC011462.1	19	+	41424914	0.0849673	26
AC011511.1	19	-	10305426	0.00116618	6
AC011511.4	19	-	10315470	0.00252143	5
AD000671.2	19	-	35739251	0.00136692	7
AP2S1	19	-	46838135	0.00643087	2
BCKDHA	19	+	41424914	0.0849673	26
BLVRB	19	-	40447764	0.000389902	4
BRD4	19	-	15247046	0.000895656	2
BST2	19	-	17402938	0.0145503	11
C19orf38	19	+	10869478	0.027027	3
CDC37	19	-	10391133,10395022	0.00959233,0.00143113	3,8
CEBPA	19	-	33299933	0.00356125	5
CFD	19	+	863356	0.0254237	3
COPE	19	-	18899890	0.0017741	6
COX6B1	19	+	35658746	0.0147059	2
ECH1	19	-	38815421	0.0104712	2
EEF2	19	-	3976055	0.0261044	13
ELOF1	19	-	11553042	0.00252525	2
EMC10	19	+	50476982	0.02589	8
EPS15L1	19	-	16355238	3.28045e-05	2
ERCC1	19	-	45413676	0.000492771	2
EXOSC5	19	-	41386373	0.00772201	2
FDX2	19	-	10310044	0.0136054	6
FKBP8	19	-	18531750	0.000522876	4
FOSB	19	+	45475177	0.0695795	34
FTL	19	+	48966878	0.391608	56
FUZ	19	-	49806868	0.000527148	3
FXYD5	19	+	35169761	0.0302971	5
GMFG	19	-	39328352,39329039	0.0490798,0.00361011	8,2
GMIP	19	-	19629475	0.00410678	2
GTF2F1	19	-	6379568	0.00421348	3
IFI30	19	+	18178114	0.133005	27
JUND	19	-	18279759,18279872	0.0925509,0.0105156	63,5
KLF2	19	+	16327873	0.0175234	14
LILRA5	19	-	54307069	0.0116618	4
LILRA6	19	-	54236591	0.000662837	3
LILRB2	19	-	54273820	0.00246407	6
LILRB3	19	-	54216277	0.000908265	5
LILRB4	19	+	54668122	0.0194175	1
NDUFA11	19	-	5894674	0.00126186	8
NDUFA13	19	+	19527768,19528157	0.0852362,0.0454727	11,11
NDUFB7	19	-	14566077	0.00265604	1
NR2C2AP	19	-	19201415	0.00211193	1
PEPD	19	-	33386949	0.0126904	5
PIK3R2	19	+	18170540	0.000454545	2
PLAUR	19	-	43648575	0.0127389	4
PLD3	19	+	40378322	0.0134228	2
PNPLA6	19	+	7561707	0.0206897	3
PRAM1	19	-	8490055	0.0150376	2
PRDX2	19	-	12796819	0.00632911	2
RAB3D	19	-	11322045	0.000596659	2
RABAC1	19	-	41956680	0.0097561	2
RASGRP4	19	-	38409054	0.000928936	2
RAVER1	19	-	10316211	0.00402576	5
REX1BD	19	+	18592266	0.00210163	2
RFXANK	19	+	19201823	0.00208333	2
RPL18	19	-	48615327,48615826,48616028	0.00801707,0.189112,0.047574	4,25,9
RPL28	19	+	55388047,55388320	0.303596,0.137524	10,15
RPL36	19	+	5691710	0.0274725	5
RPS11	19	+	49498044,49499659	0.0571984,0.112363	6,30
RPS15	19	+	1440474	0.055484	6
RPS16	19	-	39433206	0.0781759	23
RPS19	19	+	41869189	0.00493171	26
RPS28	19	+	8322089,8322390	0.0936183,0.0491864	1,6
RPS9	19	+	54207517,54207646,54249003,54207522	0.23343,0.069744,0.000361854,0.0428422	30,18,6,41
SIGLEC14	19	-	51642552	0.00249377	2
SIGLEC7	19	+	51153369	0.0241935	3
SNRPD2	19	-	45687453	0.00816327	2
TRIR	19	-	12730639	0.0058072	5
TTYH1	19	+	54428178,54433711	0.000279157,0.000105856	2,1
TYROBP	19	-	35904400,35904507	0.0561339,0.246772	17,39
UBA52	19	+	18575227	0.038961	3
UBE2M	19	-	58555711	0.0106101	4
UQCR11	19	-	1597171	0.000881834	2
VASP	19	+	45526981	0.00237029	9
WDR83OS	19	-	12668070	0.00449438	2
ZNF580	19	+	55643166	0.0143885	2
ZNF581	19	+	55645335	0.0117647	2
ZNF585A	19	-	37165384	0.00653595	2
ZNF701	19	+	52556189	0.0443038	7
ZNF787	19	-	56087365	0.00304414	2
ZSWIM4	19	+	13831361	0.0192926	6
AC108488.2	2	-	3531983	0.00949367	3
ACMSD	2	+	134902027	0.0479042	8
ACTR2	2	+	65269302	0.00352113	2
ARPC2	2	+	218254276	0.00554017	2
AUP1	2	-	74526644	0.00925926	4
CALM2	2	-	47160081	0.00739898	13
CAPG	2	-	85394747	0.0137931	2
CD302	2	-	159768629	0.000620925	2
CFLAR	2	+	201141528	0.0210526	2
CHMP3	2	-	86503430	0.000842815	2
CNPPD1	2	-	219171896	0.00435414	3
COPS9	2	-	240130825	0.0177778	4
CXCR4	2	-	136114348	0.00384615	2
CYP27A1	2	+	218815225	0.0153846	3
DBI	2	+	119372488	0.0176471	3
DPY30	2	-	32023891	0.00684932	2
GGCX	2	-	85544722	0.000959509	5
HSPE1	2	+	197503296	0.0166667	2
ID2	2	+	8684068	0.00425161	4
IL1B	2	-	112829750	0.0229508	14
IMMT	2	-	86143931	0.00595238	2
KIDINS220	2	-	8728856	2.06071e-05	2
LIMS1	2	+	108684247	0.00806452	2
MCFD2	2	-	46901869	0.000540541	2
MOB1A	2	-	74152527	0.000990099	4
MRPL33	2	+	27779655	0.0289017	5
OST4	2	-	27070471	0.00796467	6
PCBP1	2	+	70089115	0.0332226	10
PPIG	2	+	169630814	0.000183497	3
PTMA	2	+	231711416,231711980,231713437	0.247834,0.0369775,0.0132384	1,13,20
RAB6D	2	-	131361110	0.00108401	2
RNF103-CHMP3	2	-	86505667	0.0441176	6
RPL31	2	+	101006363	0.00241196	5
RPL37A	2	+	216500028,216501434	0.189294,0.0918736	13,13
RTN4	2	-	54972186	0.00309598	3
SF3B6	2	-	24067583	0.0168539	3
SP100	2	+	230470308	0.0153061	3
STARD7	2	-	96184858	0.00106895	1
SUCLG1	2	-	84423522	0.00896861	2
TGOLN2	2	-	85318019	0.00042346	2
TMEM150A	2	-	85598547	0.00378788	2
TMSB10	2	+	84906668	0.277551	68
VAMP8	2	+	85581799	0.0273973	6
WBP1	2	+	74460806	0.024	3
ZEB2	2	-	144511384	0.000389788	2
AL034430.1	20	-	10413519	0.0325581	7
CD93	20	-	23079348	0.000869376	4
CTSZ	20	-	58995184	0.0280172	13
EIF6	20	-	35278910	0.00615367	6
FKBP1A	20	-	1368977	0.00255265	8
MAFB	20	-	40685847	0.00443131	9
MMP24OS	20	-	35276360	0.00221729	3
PLTP	20	-	45898620	0.009375	3
PPDPF	20	+	63521937	0.0344828	2
RBM39	20	-	35703609	7.67332e-05	2
RGS19	20	-	64073180	0.00446429	3
RPS21	20	+	62388361,62388502	0.041175,0.0396447	8,7
SMIM26	20	+	18569504	0.020202	2
SNRPB	20	-	2461633	0.000533428	3
STX16	20	+	58671413	0.00329355	2
TMEM189-UBE2V1	20	-	50081123	0.00486618	8
TRPC4AP	20	-	35002403	0.00269542	2
UBE2V1	20	-	50081123	0.000520122	7
YWHAB	20	+	44908532	0.00231398	12
ATP5PO	21	-	33903452	0.00148161	5
DONSON	21	-	33559541	0.00010672	2
FP565260.2	21	-	5116342	0.00263158	2
GATD3B	21	-	5116340	0.00262467	2
HMGN1	21	-	39342314	0.000387597	2
ITGB2	21	-	44885952,44886065	0.000748045,0.00048579	15,10
PTTG1IP	21	-	44849584	0.001002	1
RCAN1	21	-	34516444	0.00122026	2
SIK1	21	-	43414482,43414598	0.00776191,0.00068402	17,1
U2AF1L5	21	-	6484622	0.000652401	5
AC253536.7	22	-	23971377	0.0115607	2
ACO2	22	+	41528749	0.0147059	2
AP1B1	22	-	29327681	0.00175593	2
CHCHD10	22	-	23765833	0.0114286	4
DDT	22	-	23971364	0.0107527	2
DDTL	22	+	23971549	0.020979	3
DDX17	22	-	38483439	0.000801603	2
EIF3L	22	+	37888559	0.0338983	4
LGALS1	22	+	37678655,37679770	0.00148492,0.119147	2,34
NOL12	22	+	37693352	0.0014881	3
OSM	22	-	30262828	0.00189753	2
PPM1F	22	-	21919419	0.00108932	4
RAC2	22	-	37225260	0.00212465	3
RBX1	22	+	40972587	0.020202	2
RTCB	22	-	32387581	0.00487805	2
SUN2	22	-	38734724	0.00129702	2
TOB2	22	-	41433491	0.000709471	2
TSPO	22	+	43163171	0.105556	19
UBE2L3	22	+	21621791	0.0327869	4
UQCR10	22	+	29770413	0.00212314	6
Z83844.1	22	+	37693352	0.0014881	3
ACAA1	3	-	38122709	0.000177888	2
ACAP2	3	-	195381025	0.00010014	3
AP2M1	3	+	184184091	0.0189474	9
ARL8B	3	+	5133516,5157217,5170548	0.00285584,0.000165634,0.000138728	14,4,5
ATG3	3	-	112532508	0.00237107	3
CMTM6	3	-	32481311	0.00226586	6
CMTM7	3	+	32481962,32483064	5.75677e-05,0.000348701	1,10
CNBP	3	-	129169483	0.00206398	1
CSRNP1	3	-	39141854	0.00166667	2
CYB561D2	3	+	50353841	0.0206186	2
EIF1B	3	+	40312232	0.0229358	5
GPX1	3	-	49357170	0.10727	86
H1FX	3	-	129314770	0.0102041	5
HCLS1	3	-	121631398	0.00447427	2
LSM3	3	+	14198211	0.0210526	2
NDUFB4	3	+	120602239	0.000881834	5
NFKBIZ	3	+	101859817	0.0044843	2
PSMD6	3	-	64010548	0.00555556	2
QARS	3	-	49095931	0.000628615	5
RASSF1	3	-	50329781	0.00127986	3
RHOA	3	-	49359144	0.00148588	5
RPL15	3	+	23919886	0.00519481	2
RPL29	3	-	51993521,51993624	0.0310204,0.00101923	44,1
RPL35A	3	+	197955771	0.00695691	31
RPN1	3	-	128619969	0.00453515	2
RPSA	3	+	39412433	0.0307692	2
SPCS1	3	+	52708061	0.0240964	6
THOC7	3	-	63833869	0.0114504	3
TOP2B	3	-	25597904	0.000113218	2
TWF2	3	-	52228609	0.00340716	2
UQCRC1	3	-	48599002	0.000293628	2
ANXA5	4	-	121667954	0.000191534	2
BST1	4	+	15732057	0.0283019	6
CCNI	4	-	77047157	0.00563848	5
COMMD8	4	-	47450795	0.00235571	1
H2AFZ	4	-	99948087	0.0106952	3
LSM6	4	+	146189817	0.0186335	3
PDS5A	4	-	39900454	0.000743494	6
RPS3A	4	+	151104286,151104640,151104201	0.510638,0.158824,0.160657	23,27,35
THAP9	4	+	82901381	0.0136519	4
ANKHD1-EIF4EBP3	5	+	140549431	0.0103093	2
ANXA6	5	-	151101104	0.0116618	4
ARRDC3	5	-	91368723	0.00261584	7
BTF3	5	+	73505495	0.0933852	24
CCDC69	5	-	151181051	0.00118554	3
CCT5	5	+	10264954	0.0116959	2
CD14	5	-	140631727	0.015625	2
CD74	5	-	150401636,150405315,150405898	0.0658683,0.00859851,0.0556356	110,8,21
CLTB	5	-	176392454	0.00028403	4
COX7C	5	+	86620684	0.00164609	2
CSF1R	5	-	150053290	0.000402414	2
DELE1	5	+	141939763	0.00199203	2
DIAPH1	5	-	141515015	0.00153531	3
DOK3	5	-	177501906	0.0026362	3
DUSP1	5	-	172768089	0.0952381	64
EIF4EBP3	5	+	140549432	0.0117647	2
HIGD2A	5	+	176389691	0.0257732	5
HK3	5	-	176880870	0.00990099	2
IRF1	5	-	132481608	0.000853971	2
LMAN2	5	-	177331561	0.003125	2
NHP2	5	-	178149459	0.00892857	3
NPM1	5	+	171410869	0.0559211	17
NSA2	5	+	74776701	0.04	2
PRELID1	5	+	177306436	0.0156863	8
RAB24	5	-	177301450	0.0342466	10
RACK1	5	-	181236908,181237557	0.00386981,0.165799	22,20
SQSTM1	5	+	179821739	0.0290698	5
SUB1	5	+	32599275	0.00107643	4
TBCA	5	-	77691165	0.00153374	3
TCOF1	5	+	150400307	0.00238284	3
TNPO1	5	+	72908877	0.000815156	2
ZFR	5	-	32354349	8.04635e-05	2
ABRACL	6	+	139043191	0.0208333	6
ATP6V1G2-DDX39B	6	-	31530218	0.00033861	3
CD164	6	-	109366513	0.0012837	3
CLIC1	6	-	31730580	0.00766284	2
CUTA	6	-	33416441	0.0013986	2
DDX39B	6	-	31530218	0.00450958	4
DNPH1	6	-	43225628	0.00600601	2
EEF1A1	6	-	73515749	0.000923361	2
ELOVL5	6	-	53267397	0.00173511	3
GPSM3	6	-	32190765	0.00454545	5
